City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Shimanovsk,RU,2022-02-06 12:32:14,52.0,127.7,-4.81,95,100,3.15
116,Finnsnes,NO,2022-02-06 12:34:37,69.2296,17.9811,30.16,90,100,6.17
117,Chuy,UY,2022-02-06 12:34:37,-33.6971,-53.4616,59.77,92,100,12.28
118,Almaznyy,RU,2022-02-06 12:34:37,48.0448,40.045,28.54,89,100,9.06
119,Porbandar,IN,2022-02-06 12:34:38,21.6422,69.6093,71.85,56,6,10.16
120,Natitingou,BJ,2022-02-06 12:34:38,10.3042,1.3796,86.05,10,0,4.92
121,Westport,US,2022-02-06 12:31:16,41.1415,-73.3579,18.75,59,0,4.61
122,Amahai,ID,2022-02-06 12:34:39,-3.3333,128.9167,80.24,79,93,3.65
123,Luocheng,CN,2022-02-06 12:34:39,29.3848,104.0286,41.99,91,100,5.03
124,Sao Felix Do Xingu,BR,2022-02-06 12:34:40,-6.6447,-51.995,80.73,77,100,1.63
125,Manono,CD,2022-02-06 12:34:40,-7.3,27.4167,80.91,71,100,5.21
126,Marsh Harbour,BS,2022-02-06 12:34:40,26.5412,-77.0636,73.27,76,90,11.99
127,Macaubas,BR,2022-02-06 12:34:41,-13.0194,-42.6986,69.78,91,100,1.68
128,Lagoa Santa,BR,2022-02-06 12:34:41,-19.6272,-43.8897,73.62,94,75,2.3
129,Dikson,RU,2022-02-06 12:34:42,73.5069,80.5464,-23.84,100,95,6.33
130,Los Llanos De Aridane,ES,2022-02-06 12:34:42,28.6585,-17.9182,65.95,73,20,12.66
131,Esperance,AU,2022-02-06 12:34:42,-33.8667,121.9,93.04,36,23,26.15
132,Urumqi,CN,2022-02-06 12:34:43,43.801,87.6005,2.35,78,4,2.24
133,Jamestown,US,2022-02-06 12:34:43,42.097,-79.2353,15.71,65,0,1.01
134,Isangel,VU,2022-02-06 12:34:44,-19.55,169.2667,80.71,89,40,0.0
135,Cururupu,BR,2022-02-06 12:34:24,-1.8283,-44.8683,82.92,76,78,6.13
136,Ignatovka,RU,2022-02-06 12:34:44,53.9479,47.6536,17.89,95,100,5.3
137,Praya,CV,2022-02-06 12:34:45,14.9215,-23.5087,79.34,47,20,18.41
138,Krasnoselkup,RU,2022-02-06 12:34:45,65.7,82.4667,-18.26,100,53,7.27
139,Richards Bay,ZA,2022-02-06 12:31:09,-28.783,32.0377,77.58,80,25,11.18
140,Pevek,RU,2022-02-06 12:35:46,69.7008,170.3133,-25.02,100,29,1.36
141,Thinadhoo,MV,2022-02-06 12:35:46,0.5333,72.9333,82.74,69,7,10.27
142,Jijiga,ET,2022-02-06 12:35:47,9.35,42.8,78.1,21,91,18.01
143,Leningradskiy,RU,2022-02-06 12:35:47,69.3833,178.4167,-22.86,97,29,5.26
144,Jaisinghnagar,IN,2022-02-06 12:35:48,23.7,81.3833,65.01,25,0,6.04
